Performing Artist/ Talent Name,Stage Name (from Stages),DAY OF SHOW,Programming Time (from DOS),Soundcheck Time (from DOS),Set Time Start,Set Time End,Upload your Artist Press Photo,# Confirmed Greenrooms,Green Room Sched,Greenroom Start,Greenroom End
BIANCA MAIELI,THUNDER,SATURDAY MAY 23RD,,,3:25 PM,4:40 PM,profile pic april 2026.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/z_ki682H5tOBaghlJQna0Q/AJbxo3u_YdLOZHOpkqtEnbt8lUXJaJN-CZ0FlUyq3owcUbZRhIVqw3C_4ibso49dLV1yNEyvXJJgcs16uFZ3wRtfNaSNMrVFnT9V2Zq-nQ9n6qdq2QoVj7gA2w36RbZC8-TwrbBVjSBWjhdQEv7UDhVO1mZdp0TL-XT7enaMhiXcgFuqDFLiCJJyWKeFj-Bx/zD32cWxrvyMotj7DpEtQoDHVaW0B9KCq4RlbR-yv_cM),1.0,BIANCA MAIELI-Greenroom-GR Trailer 18,5/23/2026 2:00pm,5/23/2026 7:00pm
CLEARCAST,THUNDER,SATURDAY MAY 23RD,,,2:10 PM,3:25 PM,Clearcast Press Photo 1 @guarionex_jr.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/YtfY446d0QuuoilrdP34eA/GVS7A2ZdzUH7UFe4LWi0FTZVJNfycyeA6M11Gb3hSHR7-PPIWx3zQeQ1cqid7DooJN3sOjjZEX41s1nxToVvbA5u9bmKWI8pEZwARDE6E7kQUdM788DzWKj8vrow1zs_TQ7f3AbgtxKm3ZtU-tXobctZrXQcF__1wx3KNphUVGrgv_iQMNpaRRqvnIcnH1qV/dxoKPmx3A7okp8Zsc2x3GEeO0bUsJ4Z4e0fJIt7KPkU),1.0,CLEARCAST-Greenroom-GR Trailer 15,5/23/2026 12:30pm,5/23/2026 6:00pm
COCOA CRESCENDO,THUNDER,SATURDAY MAY 23RD,,,1:00 PM,2:10 PM,epk.JPG (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/5a9eu7GbHYppiRX2nMFyfg/FKB0qEvUYq3JcU6NC7n_AZY_DDTnUPfAdjmRWpOWmGGZeKWJZ1aV94txbvYG2iO2pcblC3FH3Tcc7mxSUJbCeitey-KWiSadWIOgFxHHWrlDSQpSRUq6v23D3TcB1wK-TjUGadYoOFVPSYNloOIl-A/PJt3JCjUN5Sc1RlHXgwt9NnmnYejpaKBGC_aXVmSZiQ),1.0,COCOA CRESCENDO-Greenroom-GR Trailer 14,5/23/2026 11:30am,5/23/2026 4:30pm
DIMENSION,THUNDER,SUNDAY MAY 24TH,2:00 AM - 4:00 AM,,12:45 AM,2:00 AM,dimension_headshot.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/9hGwuT55YNu4uw3zNYTu8w/vqE2eOF2WjF7aE2TSR41niUYUGvrRe6xDrgktNFujHnEs4EdiVV0hPz8DAUh5HWeAuL7wQcyfjDF_1eExf41wcz7IHEKCcZEOdsSOXIy2i2O8RkiV-0zYYXW9GWgqLXHQiwPMtlZpYwAOMFGL0hOjwOgQg9flvR4TnfuOjv1kIQ/KQ64yaEflu0-j68hYQtKNPhiXW-bvqtDIjOzdRojFZk),1.0,DIMENSION-Greenroom-GR Trailer 16,5/24/2026 10:00pm,5/25/2026 3:00am
OF THE TREES,THUNDER,SUNDAY MAY 24TH,12:00 PM - 1:45 PM,,11:20 PM,12:35 AM,Screenshot 2026-04-25 at 1.35.09â¯PM.png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/RRYo4RtPLYLi7hMtj5n39A/SiHTbjQuSS2TcPUEgQpo_BZOsZzR07tsXe1m6tyYgg5vyIVoB83xxjrMaRuurI692NIm14q66mlHYh2x3S4WdD5fr29VBRTHS65lZLzeA_UnVVWePniLGrCBlyjfjKG30KMZr20-msJnxkzaQT7yKQjYG1Hf0EKzLlvaqIMOgyKnsRXQclo25QIy4XhyBp9f/ji4wxfyFo4F6_H2_pBVEeoI4oxuT64Na7rcSPibPRY0),2.0,"OF THE TREES-Greenroom-GR Trailer 18,OF THE TREES-Greenroom-GR Trailer 17","5/24/2026 9:00pm, 5/24/2026 7:00pm","5/25/2026 2:30am, 5/25/2026 2:30am"
JIGITZ,THUNDER,SUNDAY MAY 24TH,4:00 AM - 5:00 AM,,9:50 PM,11:05 PM,JIGITZ-kevin-buitrago-12.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/fW4Cwazw96r3Q9DjEuZxpQ/2uSFDaKdMTml5pM93D_TWGoiQNpWdhoVY-d5uEmZYiusaf932qDgcfw01ApttpnXMXD-ULR7lqu6cn9wfNBkHA_e9ZFVBMqgfZvkpwzzNsvy3H2XEhrSHHSOamkUAvXCXtVjbiEP0D-igmLdaRoFpqLDHVvNrbZHz7xhg03T-EobMStF2PMPfWe0FDEH9lNx/qrurRrze3V_hcmSuTkTBhltJ8wnLNZxfwpHQx3FfPNA),2.0,"JIGITZ-Greenroom-GR Trailer 11,JIGITZ-Greenroom-GR Tent 1","5/24/2026 8:00pm, 5/24/2026 8:00pm","5/25/2026 1:00am, 5/25/2026 1:00am"
CONDUCTA,THUNDER,SUNDAY MAY 24TH,,,8:35 PM,9:50 PM,avatars-zz2bXT04Xc2aEl03-IV4rfQ-t1080x1080.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/XmF3_lyaHW9intE8N-7G3w/DT1hdbVNDKAnIXc7RNOSycMud88PdhasSStFONEwAbA5XfQrZ_wSSoojzlsMOUjnjFHhYPVEd9sGwFb989U_cTnbERoDst3Sjo1ZXopSp6-qpVQWmjLpz-b26ngJBJH4lj-aGFz38nCUtffdjoeYhs3WeH47_FKoxdq1KWev3IW2AA5pGJwlehoio6tiN6UTIfpt5chA1iuQBElAX6EIXw/luirP6KgUm605aa6OAn4HDvr_uRw5beIQ_mczpXK_xo),1.0,CONDUCTA-Greenroom-GR Trailer 9,5/24/2026 6:30pm,5/25/2026 12:00am
1-800 GIRLS,THUNDER,SUNDAY MAY 24TH,,,"6:05 PM, 10:30 PM","7:20 PM, 12:15 AM",Screenshot 2026-05-12 at 13.46.56.png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/4CBSYzDm4VNNvjWb9uG_mg/sH8_NN3uDGvXqkwOxGECMxObuwWZwvB3Mocc9_weuxqB6-8GiawNe38eYhvnKyyJbi0MXgb2KPqSlDSYTeIjPhLM080tGtKmaszK9b95BfIg4dJtZ6GeCz3HRd9wOTfgOhNMpbSvwAFs11-W2vE1gdPLIVUbmZDMvVmjpoj4PBQYQgtXugCJdXeMAN4PiMUf/uc_IYK357pq5Swt4TGR34PXQN7aOChdEuMWcunz9-nE),1.0,1-800 GIRLS-Greenroom-GR Trailer 12,5/24/2026 4:00pm,5/24/2026 9:00pm
INTROSPEKT,THUNDER,SUNDAY MAY 24TH,,,7:20 PM,8:35 PM,Screenshot 2026-04-02 at 3.21.50â¯PM.png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/qdLuLkiX9gJyU1CgrNw-AQ/uo4wfhuPZ_DW2eUi5EmSmNYNZE_tepp8Vd5d6hp0kdIDHk10WRQ6UxFKbv1ExOcRymXMFn_t5yK6P0_HbzH5nuX5J9Uedyj4C2G2CNAPvoit1eLU3lCuKzE-vQafsnMTRT5YBRYiuZajg3U-4vFZ_FgbEGTz7GwBmoIXNmz1A6kAEfr6rV2k4ozrUz4YieG3/GEgqOBoqIOcn1vH1JynlEnMDedXiK8yEKytrldn17Ic),1.0,INTROSPEKT-Greenroom-GR Trailer 8,5/24/2026 5:30pm,5/24/2026 10:30pm
CARTRIDGE,THUNDER,SUNDAY MAY 24TH,,,4:50 PM,6:05PM,Merch Shoot 4.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/5y0ep7mc080ugHVUs40oaQ/h-EQe1X191Li3u5Co51tnhFL3Pkxa5kg88n4pzw273nEAZ61vTT1hw3u9RypA5BlAH_tAA9s0H09ObTwU-euHa4lEP1h5xEoznW5sYVzLKT3Fy6OcDaPm9yzDlchpj0nlbUqeg9FdWvy2P_nCyvdhvJqBWzUbwdgvQtjvcqoQp4/-liMvPOwCPG111Mvq6BmXhOEmNwM4-2tPH2y1gOgBdQ),1.0,CARTRIDGE-Greenroom-GR Trailer 16,5/24/2026 3:00pm,5/24/2026 8:00pm
THE SILK ROAD,THUNDER,SUNDAY MAY 24TH,,,3:35 PM,4:50 PM,TSR Press Photo.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/RjpdRtgIndzK5mBZo1RNVA/Ut3ZOPVo186-BB8ULubjM83cT1JWVshl3SmnFKI52waI_LpEmta8euzNRJV7IUGfuEwh9CBBMkBeekOTGT6piqMzyVhsJpcguTwb6f6kIESzDjjqu7vddaPbtaXJHjRZaSj3IiNlDprddGRUCi-LLyYIv2uY37Cp8uN64DUuenw/iR5V3S1SDeE8aEKlB-8378E9paYSr_9MHd0ftM9vf-k),1.0,THE SILK ROAD-Greenroom-GR Trailer 17,5/24/2026 1:30pm,5/24/2026 6:00pm
JESSE BREDE,THUNDER,SUNDAY MAY 24TH,,,2:20 PM,3:35 PM,21557937_10154906686756680_7177010179819832863_n.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/W-1F60FLFD7cEs5Yzjkbuw/gMBYed5sKzgyElDA7go5CcPXq_rxk7JvoDBi2PfqXEjdHQAuhla4-JQGqbHkTp5tX4miDsyYfSHwZ5KnYRqQ6OP0co2p-R7iJ_NZBrYAeFhR3WEmpE2VatD5FcSq6yZA744PwJTZIOX6CtCwVLCe2KhukzEZJh3uPHT73J7B9-Y0suwB7lQQcfhbzCrpfuJLjM_ghBpIAJfDjVKBULKM_g/hxmviQoCxFi4ts3WI_qlZyPbkRsET1MdyLrUrN4F-d0),,JESSE BREDE-Greenroom-GR Trailer 11,5/24/2026 12:00pm,5/24/2026 5:30pm
HOT SINCE 82,WOOGIE,THURSDAY MAY 21ST,,,10:00 PM,12:00 AM,hot since 82.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/wd14fGsN4uT7HgL91EP_Dg/Jc4Npq2zChDUHuZCu-uOnel-wWu3jXy5J7NoHKDo7dg2uCioUdErG9Ya96FKcCnmhuj6GNfv0ZRDposRO1xzCo8kqRT8619FUZ5xp4n2yRYwCnCJJIQ7EtfqBoPy_7X1WOupbD_vqQFUKISImZT9jO43w_3Sxewqh5VXP_5VMpk/G4SJ_Eq6oe9cteFJuNjFrwtKgRlhoK70UxZ3m6dWm1s),1.0,HOT SINCE 82-Greenroom-Woogie 3,5/21/2026 7:00pm,5/22/2026 1:00am
LINSKA,WOOGIE,THURSDAY MAY 21ST,,,8:00 PM,10:00 PM,PRIMARY - SUMMER.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/EgjrcbqFZXr-XBE8qxdV9w/GNIyoIs9NX8HkmllJ6fm5mDzhqrZX0DK6feUocFI2j3jyUVIUKrGZ_jje3zJZILzhUxa5ZdjYeRr2gm-wYGcGmjVeol15Fg8xe_lSQqsAuaqrOg35oPSX2zJtaNoLaZZg8QzXI2YPJHWnIjRdjoxUdl-s8KYsK2GMudripzBGLw/266g5YqGHSFg2dfRc_AFSrEcQKcVkQLfSFb-peXT0oU),1.0,LINSKA-Greenroom-GR Trailer 15,5/21/2026 2:30pm,5/22/2026 10:00pm
DESERT HEARTS,WOOGIE,THURSDAY MAY 21ST,,,5:00 PM,8:00 PM,DH2025_0417_183025_01431-Eric-Scire.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/EMWdSFMbfgEQLpVg7JMB_Q/mMQ3pMlU9qObi3ezahRJJ6PS6ZaSPTSVj2r85mZeYZkEX8nlvIAuazze4vqRBeVEklyxlh6wB3SBhryGSMFBibezKHR5rxBg5Yc7krWDGUHhmdgYp5uzyLgjoej_51dKDnIAFqStmyefCwtbLd800zrl9YC8y_0_XPvezoKmgAor4RQ8RnrJsryTHqjRNvp85jlC6sEcNHRv-HdIqQ7mgg/UZ5q8nC5KDAGCh71uW3lmoI25XRalQtaXFN3vugEu1U),1.0,DESERT HEARTS-Greenroom-Woogie 1,5/21/2026 2:00pm,5/21/2026 10:00pm
GIZ,WOOGIE,THURSDAY MAY 21ST,,,"3:00 PM, 2:30 AM","5:00 PM, 4:00 AM","GiZ_2.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/8dJjhrLmHigC9UWd3aDAQg/_BP0DUBdWavyHGjt-lZrhlSKhHT9H1cQM54mI0NdaKwC8xqv0ochshTyfgYLwl78FyNoIEebvlFedC0GqLkRnwIUNpvXGLBuqsGtgVbE1eVG_lzAa4RyD_Fe9sN4toSoYaPTzqWx8hdrgZ2krRriwTPMxV3XfHV1sWt2Pr2OMrY/_tocOkbMayKzIXftJhBNiSDbSPbEnQE1bvHj5kdKAsM),GiZ_1 (1).png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/CKLum0k-q1JgIvMEw_vMZg/LkgarZBC92Nqvi8u5rsOtMt90zSPtsjAKYm0o2vE5SaPnSHL6pCkwOVJvmrtBjThZfFRBNCBZjaMHBV-bUhAZMsNALtw1nHlfwfmEwrC2uA2tHig7OyXwUE4hsImTdo2pkpmgIyMPaB8--NuscyQs562rIUncTkdqjAthyykA_g/xpuowDcEQYkAz69SU_0jaPfuc3UvP4qnsw39d1FaAHs)",1.0,GIZ-Greenroom-Woogie 2,5/21/2026 12:30pm,5/21/2026 10:00pm
SARA LANDRY,WOOGIE,FRIDAY MAY 22ND,,,12:00 AM,2:00 AM,Simonsplayyground-082.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/xW_arLW23jT0myxC7nA7qg/D6lEnOkqje-jlKgYN772q6x4gjm6APf_fxy63W8seJhdEjjRX1t6UZCy1xSA-Dc2u4Z8JFCdTuwM-VvqPK2PThzeHZQg8tVD6Zrz74JtTBVfyOM0LlgrLOHM70rGcyPUcxqXFg7XpbOLKG_dus5H6tfT_NvAwhphRwGpvMFS5VdyobVADy6NP1D2MRTMlhGh/RG8I_QBMDTF_WjXIItMo5PohCMFRboS0bmDuyMux8e8),2.0,"SARA LANDRY-Greenroom-GR Trailer 18,SARA LANDRY-Greenroom-GR Trailer 17","5/22/2026 6:00pm, 5/22/2026 6:00pm","5/23/2026 3:00am, 5/23/2026 3:00am"
EFFY,WOOGIE,FRIDAY MAY 22ND,,,10:00 PM,12:00 AM,Effy-14.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/JKjUxme8_FktZxEnxnCG4g/1BfbZVk4trbT1K_hYeQLfPjkykQnRkU_EkL24iyMvTRx58It4GIQXW4TDSQXwiRNX2fPkA9MSyyhp6eRarZv7cszCNG79RkvJwmuOUucfiU2a7Yi1Ih97sWYf4SXGhbpgKYtNJvTHJqVoySfXbIWS4sJdkMDBqGIzcQ-4ALaEF0/xDcTBGS2tkF_roIK8BX-3S5bMZ3y-rhGip65_rHaQHw),1.0,EFFY-Greenroom-Woogie 2,5/22/2026 8:00pm,5/23/2026 1:00am
DJ HEARTSTRING,WOOGIE,FRIDAY MAY 22ND,,,8:00 PM,10:00 PM,LEAD SHOTTPro-Capture One_DSP Profile Pic7400953.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/kiCNUZrsR19KIGuOFAt7Zw/3Nbsksbwzc0JjVfOEraWGkr8hlue2qcQWFQ0EghLlensqs7nXJhhk2F9VS1PouVJE96dR7MMst9nV6kGfQCtSg6OXKJeim15wxIDOaW_odRlmWYgGDX0bRzKToqZH8MlOa3tyI5g2YpU4bbMcH97LWhfFYyrl6QLeKjESgRbzwdGqIZ4EltlkbbKDj47sdpKxuw_rAeA2OxclaXS6h8-IQ/7rHcekTwL9v3w90KigccSlovXtpTVqvbCjaI3azZaEc),1.0,DJ HEARTSTRING-Greenroom-Woogie 3,5/22/2026 6:00pm,5/22/2026 11:30pm
LEE BURRIDGE,WOOGIE,FRIDAY MAY 22ND,,,5:30 PM,8:00 PM,lee burridge.jpeg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/VR-MEBUfGeIUHYmWQEJvhw/GdAAWwcSXMCPgIeyT0sLAF2Gu0uhBIzqlDdUVGdxMNGPUBU7wBbbtkPGasD5iRiXieB_xtHV4caVDrzlHx2hJMUel_Owey6CWNqTH8EjUCnLPtTpL9AxdEEOATdJcv8Acp-sQhMZanjzCAa8mwa3fskSLlIvTRbSlxJ-DkyChNc/V_UQNzrHeiXWE6XBiTggM2QSplrXb_eOuuQvfD3Pcl0),1.0,LEE BURRIDGE-Greenroom-GR Trailer 14,5/22/2026 2:30pm,5/22/2026 10:00pm
SARZ,WOOGIE,FRIDAY MAY 22ND,,,4:00 PM,5:30 PM,IMG_9040.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/TEcZdQPmBKi3joXi2lLzqQ/33GnILJN_apKorQxj991qkMC2r_fH-VJKHZDNuhLXYBNv7Nsh042TwebNx3nLnNzAOh68t5MmiKvCM9KPttwWL3vFHLq-yIFAlF9VccP2vdkI4sHSoyddHBpfVrM8MDam15vKNli7C2dK8GxyH0PXQ64F99uTsm_ptAtWWPlSZY/f8udELt0eBIJLMglIbwxiA1cXdlRNG_J_DwfCgkmm0o),1.0,SARZ-Greenroom-Woogie 1,5/22/2026 2:00pm,5/22/2026 7:30pm
EREZ,WOOGIE,FRIDAY MAY 22ND,,,2:00 PM,4:00 PM,Screenshot 2026-05-12 at 5.36.57â¯PM.png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/95j1evOy1n2RefOmbkIS8w/aQHtG7vi5j8NMoNfTBJ7AgI_P1wUqggHkqqAdETVpq54WKotHxhYgI58WBQQDRCJQOefExDuTVQ_MGfLVMtjVDS_6i3OiT2bNQZ4-82mCIGRFI3EcGPWbXlyyPralxa40N96ICL-20A945VfVWLuEtgqC5bgIPEK9OV8ycI0bY7OtljhSGq5eBOoJy9GlQ4C/qHSV0iqEWYM7A6W2IMgdfZg2JpxrViC8xnDBO1bwoKc),1.0,EREZ-Greenroom-Woogie 2,5/22/2026 3:30pm,5/22/2026 6:00pm
AMIRA,WOOGIE,FRIDAY MAY 22ND,,,12:00 PM,2:00 PM,b30fd5a2-28ec-4737-93e3-97ed55900884.png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/ef0MXIqPO3bpe9S6s-HR-w/NhczueQeWQ-vMJ31uHfNj4E8yXci1YGjPzURcq-l9tG3-Llh80DJhfeV7SVtx8e_UK4LZQpp1OpBc2Rn31dMGcwIy9ZvrXMdvWQZ7ht1JrbeFIbpJztTABHRBPFt5InyMT2yFfrQxST0805s17abyHrxVkeCIZoSa-7EJfAXTN7zEs-vapuB5XYXTZxO1lR2/IBAMCp4qPpDwtO6ibIcmw5Kbj8fK3dbKVW4Woy4yJ4E),1.0,AMIRA-Greenroom-Woogie 3,5/22/2026 11:00am,5/22/2026 4:00pm
MACEO PLEX,WOOGIE,SATURDAY MAY 23RD,,,12:00 AM,2:00 AM,2021_MACEO PLEX_Press 01_golden.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/FvApBY7bWuvIphAj6ELwwg/y58shAdhloE5yQjetJGN9sU3z7TLHGiaV9IM04SuOPClDcjmjmKJpXl3KPJHOfHVyOAxXgVk3gbZ4WVHqHNexUpGFfuEpwEnqHSakO2fIxudJCi-hcYeaPdOHXpLfFlLAR__4pTLhnlXxbRTHRMV9DosUOrrXONeIsDpkT3b6xp4Qmda-77sF2N3hIidh29W/kvK8BZJzSK0HZRGXbyqsBMP2iWkxZEEwMXiJzrFEuqo),1.0,MACEO PLEX-Greenroom-Woogie 1,5/23/2026 6:00pm,5/24/2026 3:00am
AYYBO,WOOGIE,SATURDAY MAY 23RD,,,10:00 PM,12:00 AM,Screenshot 2026-04-21 at 1.50.44â¯PM.png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/MIhfnIqSgPOEBhlmH-IPiA/uPFLyK4ZqzW_-WFxxbfhch2O5PzR8rlUDsjlo1YDe_VuGf1lhooWti9nc_CcrCT0rol9yJZiFsXTh884AZv8LNb8WkoBsXUNRq1q0TjTBczQLxKbTQGyCiYF7GDj6Sda3zeQHcqY8AhcMI0X43YcHPMhf3uraW08RZAFm6Edo5tidTNGpjqh_tJ2W5GAaVU-/e1RmYJpK3t0kfnxNAsTZHFd5YFKYnS5M9VskyG4C9HE),1.0,AYYBO-Greenroom-GR Trailer 17,5/23/2026 8:30pm,5/24/2026 2:00am
J. WORRA,WOOGIE,SATURDAY MAY 23RD,,,8:00 PM,10:00 PM,JWORRA_R2_DONS4381.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/SY1EK4jQnu8VNAyksvKpzQ/nWEWNw3lVFtItBeGVQcksEZwqAk9QqAaiK_Tw7zD6SNZ3cIzAylprxWFUrqhSADbUnytUDeI_1fHLm8bsjVRAMKGEt_N7bJolILqjTHs8rblgntiiMOYTAwb-A8-qwgZboEl1JAcLtVR2YBv9vNgJmALSYwWKUHf_3Kc6c1IqeU/IpkDhLqrlG7jV5BlUVS371LRDHazeFVb27FeRr7VgcA),1.0,J. WORRA-Greenroom-GR Trailer 11,5/23/2026 6:30pm,5/24/2026 12:00am
MARSH,WOOGIE,SATURDAY MAY 23RD,,,6:00 PM,8:00 PM,"Marsh-2025-DM-9904 Ben.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/1xKpTKxsF4LjQUrjSnbI3g/4MFgmNKeMfJUlxImA5iK_mEDao6yMs25sAyJ1WOfkuZodPMUmxNlTT9q4YOExCnRImELS0GvOWklPFCMMTGjAmwD_6qi07VKOIU2pIzgUIXANCmoYnvlQ0e2EU7tVw_0L2SXOQNleH5Er-y2Ky1SiMbh9I7s0KgpvDGxZzfilFV1MLA56eDRALV2WjNQtGg_/eKGwte-17ktm0LC2rkg_eVl1COu52sph5arhTxJPR7Q),Marsh-2025-0857 Ben.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/IoYHHorA5PmIJwybmo8RVw/ZZnNQQTWovuFeqkXbevWRvpGIHlObD5RyyqddaPt7AJ5jFX9JVaZA56PEex0Yamge1AM-hB1hI7YyiwVGvQOM1mUkhE5tyVfEG4d0eszca3pFbaASbLOJDqWCg1o02VD2ul7p6iSdFxHlqe69Ljjw1T78ohiqpzr1akj75q8UyM/HNKLrGSRRs_HiEayn1nkmN_ixYZJgeDlLMP1T4_Z9B0),Marsh-2025-9068 Ben Crop 2.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/NqoAAcv_tv4KcBTsyhRZqg/-vVk_uZjBULDFeFavzKwtXC7w8S7jeBPs3C8bbBmQFhMO6-TMBTwHxMcQUFA34CDk8njMr1HDeORaGhlqYBvdxk5o94TSZqdUZ_5F754ZIvAYk2e0ORmovEsHNcN1aXyhVj_2nv6jiE1L9m3tHXGjq1TzTGF6UDqZ2WmSKBMperhoPU_XGN2vI1Y-0SF1Jqg/sDEMfvd8dOCPRETKjfmTOSpjHDMCIa2xT7uvH80p98Y)",1.0,MARSH-Greenroom-Woogie 3,5/23/2026 4:00pm,5/23/2026 10:00pm
LADIES OF LEISURE,WOOGIE,SATURDAY MAY 23RD,,,4:00 PM,6:00 PM,IMG_9056.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/ANjG5JE4UxhaCa1eKVXaUQ/Wy4d7IF56ZLYWqgjfE9sBavigJ3GHpp_BXHvs2Sku61l8L-Alml62CK0Oy5-vC0fJKK_QwoC2cwFcETLS9epGvxgx2lQ4XqNoxqmTgoCRqKgHAKtPMLrjR3QAuqu47EGR3RbYtonuck5jQBA1163tqwuzKQ-eYzLbByQQX0tdfI/lqaOMcsHBYW0KVp5QK5YiBtLX1naVH7MiFcOE-FP25s),1.0,LADIES OF LEISURE-Greenroom-Woogie 2,5/23/2026 2:00pm,5/23/2026 8:00pm
BRUNELLO,WOOGIE,SATURDAY MAY 23RD,,,2:00 PM,4:00 PM,brunello.jpeg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/0gb3O_OvtEgIdYyVKyGb_w/MMle9xovAYjPz2bS7wgEhcRwi-smuKftaklb_QL7PeTY3Z1NpGmDzqMfbm3k3MF-3IOqXwwwLnL8vLCJdvVi_OM-m9CaW5RTmFwpNTomRc6PFbQLcDemZgNKOhrSl-L6YEUxO9y2eQ0lFyloW9N5N_wZZAUWT8GjUTjRIh1wuGs/L-QUnVjYyrcmdSdA0AAIS_R0gdItccNI5nJGCud08xo),1.0,BRUNELLO-Greenroom-GR Trailer 11,5/23/2026 12:00pm,5/23/2026 5:30pm
RICHE,WOOGIE,SATURDAY MAY 23RD,,,"12:00 PM, 2:30 AM","2:00 PM, 4:00 AM",294A0346.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/FPh59MsQc5BlE2xhDmbHAw/ZPLmMFl8MN3qqNTWmbL0G0Ke1RBGw2615DNYZY944ycWy6jAbX9OVDhIADUgQ_CCYovx3D__CUJNsIyq-J-DMAG0vjA9Om_TvtK-2k80YbZQzgpHV-03-vHhVcb4NVob7lkA7-1YN2gNc7ncTrpcPk4dLSpO7fIpPapppbXDgRg/FcZnpo_CQFgxbbcM9BXPYbbDDy9avxaGt-LYfqVuR44),1.0,RICHE-Greenroom-Woogie 1,5/23/2026 11:00am,5/23/2026 4:00pm
 AVALON EMERSON,WOOGIE,SUNDAY MAY 24TH,,,12:00 AM,2:00 AM,AE.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/eLPBdqhLCL60Qd4kd_kESw/tssqckLd2zItKGIo3M1JGsHi1OLVljHw0fSbYPqBp1zsXNayl1jSwELEJcZvUK7gXtMV9McOGW-QJBjt11pUuilZeSXwswZT108MADiXti4bf_ZNnvEU1qO_Kb8_1C0_nhWmOkti9B_KsdEFRgG0ow/IE3x6l9fcZ1ELX69ERJQHQK2NllkwGkr9RvljJRb6fU),1.0, AVALON EMERSON-Greenroom-Woogie 3,5/24/2026 10:30pm,5/25/2026 3:00am
TRIPOLISM,WOOGIE,SUNDAY MAY 24TH,,,10:00 PM,12:00 AM,TRIPOLISM PRESS PICTURES X JONAS DIESING 239.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/CFrBj-VCIHgfl0WUSB1buw/NO4MheC-PPsbx-b9j_t4-W8FshBLKfdpy3aQ_mQr4RP5plXyerhzRucvPFFWADsBPOAb3w-sBf8Mvcqk3IC_A1ejkG-Shqbk5graREAv1FSy2rxOMYqu6Rja63Nw5Z3QICAxDXL_GCpp6T1LthaqSCxzntgPn57mRDSb1E147T9aNOxMKdYnF_VfKatYD7uHzLde0F2r-yXeh5m09k9b9Q/wkOz9haolq_WO8sGVCTp7lDASTwQcyrHppTrvkaC1Fw),1.0,TRIPOLISM-Greenroom-Woogie 1,5/24/2026 9:00pm,5/25/2026 1:30am
JAYDA G,WOOGIE,SUNDAY MAY 24TH,,,8:00 PM,10:00 PM,Jayda G (1052) - Joe Magowan.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/9nr9DhWTVTZ5YYKKbW8L-A/ZWq8GqGny8g8eLaMTBbDtBnHRCpBv8-Wpvne_mYsLWjrOJOQz-FRDhs_-0c0G6AqkDSrijNYon3puvCuy5-p-LFAYludjvEs5k3UAB8hF2RGNKUhye0NdD7W7_RlpYMOesLfewvXDmaE0e0_B6IAokBFcHOWoB4IRyMIJTFYVaLmSHsj1hQ7KgRj3IQi8vhT/K0esrtpe5S7bhi4Cm30dtLT9n2Z7Ts28lIfiq6RPdWg),1.0,JAYDA G-Greenroom-Woogie 2,5/24/2026 7:00pm,5/24/2026 11:30pm
